"file","count"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_06.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_08.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_06.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_08.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_06.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_08.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_06.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_08.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_06.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_08.c","9"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_03.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_07.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_03.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_07.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_03.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_07.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_03.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_07.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_03.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__TODO_07.c","6"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_01.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_02.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_04.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_05.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_09.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_10.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_11.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_12.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_13.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_14.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_15.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_16.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_17.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__BUG_18.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_01.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_02.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_04.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_05.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_09.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_10.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_11.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_12.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_13.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_14.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_15.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_16.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_17.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__FIXME_18.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_01.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_02.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_04.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_05.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_09.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_10.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_11.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_12.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_13.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_14.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_15.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_16.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_17.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__HACK_18.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_01.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_02.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_04.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_05.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_09.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_10.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_11.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_12.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_13.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_14.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_15.c","3"
"data/juliet/testcases/CWE546_Suspicious_Comment/CWE546_Suspicious_Comment__LATER_16.c","3"
